mouse_idx,acquisition_idx,doi_citations,location,protocole_id,probes,sex,animal_strain,age_days,date_of_birth,weight,slice_position,temperature,procedure_type,procedure_info,anesthesia,seringe_gage,flush,injection_type,mb_dilution,volume_mb_injected,FRC_um,saturation_percent,mean_track_length_frames,mean_velocity_mm_s,quality_grade
mouse_1,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,41,11/11/2022,15.8,,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,21.08,45.4,33.2,6.64,B
mouse_2,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,30,19/03/2023,15,,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,24.39,42.3,36.6,6.6,B
mouse_3,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,39,14/11/2022,16.4,,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,25.87,45.9,32.8,7.18,B
mouse_4,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,M,C57bl/6J,26,14/12/2022,14.9,,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,30.55,37.8,33.3,6.63,B
mouse_5,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,57,15/12/2022,16,,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,24.47,48.8,34.5,7.53,B
mouse_6,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,55,6/1/2023,"18,5",striatum,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,22.07,43.9,31.3,7.37,B
mouse_7,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,30,14/02/2023,"13,8",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,21.34,53.4,37.4,7.08,A
mouse_8,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,,unkown,"15,5",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,23.7,48.6,34.5,7.02,A
mouse_9,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,88,4/1/2024,"11,8",striatum,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,20.94,51.8,35.2,6.86,A
mouse_10,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,M,C57bl/6J,37,31/12/2023,"15,5",striatum,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,29.09,38.4,35.5,6.62,A
mouse_11,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,28,1/12/2023,15,striatum,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,18.55,41.8,37.8,6.41,A
mouse_11,acquisition_2,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,28,1/12/2023,15,striatum,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,20.17,35,36.4,6.27,B
